Date : 2024-04-23 23:43:01
Directory : /Users/dgee/Documents/blog/blog
Total : 252 files,  42565 codes, 5602 comments, 12005 blanks, all 60172 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript     |         19 |     23,097 |      5,493 |      6,623 |     35,213 |
| Markdown       |        154 |     11,194 |          0 |      4,784 |     15,978 |
| CSS            |          7 |      4,754 |         82 |        432 |      5,268 |
| JSON           |          4 |      1,904 |          0 |          2 |      1,906 |
| HTML           |         59 |      1,447 |         22 |        133 |      1,602 |
| YAML           |          3 |         62 |          0 |         16 |         78 |
| JavaScript JSX |          2 |         50 |          5 |          9 |         64 |
| XML            |          2 |         48 |          0 |          3 |         51 |
| Ruby           |          1 |          8 |          0 |          2 |         10 |
| Shell Script   |          1 |          1 |          0 |          1 |          2 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        252 |     42,565 |      5,602 |     12,005 |     60,172 |
| . (Files)                                                                                                                 |          4 |      1,914 |          0 |          4 |      1,918 |
| archetypes                                                                                                                |          1 |          5 |          0 |          2 |          7 |
| assets                                                                                                                    |          2 |         50 |          5 |          9 |         64 |
| assets/scripts                                                                                                            |          2 |         50 |          5 |          9 |         64 |
| content                                                                                                                   |        154 |     11,165 |          0 |      4,757 |     15,922 |
| content/blog                                                                                                              |        149 |     11,135 |          0 |      4,752 |     15,887 |
| content/blog (Files)                                                                                                      |          1 |          5 |          0 |          1 |          6 |
| content/blog/2012                                                                                                         |          4 |        190 |          0 |         49 |        239 |
| content/blog/2012/09                                                                                                      |          2 |         68 |          0 |         25 |         93 |
| content/blog/2012/10                                                                                                      |          2 |        122 |          0 |         24 |        146 |
| content/blog/2013                                                                                                         |          4 |        619 |          0 |        216 |        835 |
| content/blog/2013/05                                                                                                      |          1 |        110 |          0 |         74 |        184 |
| content/blog/2013/06                                                                                                      |          1 |        260 |          0 |         54 |        314 |
| content/blog/2013/09                                                                                                      |          1 |        159 |          0 |         43 |        202 |
| content/blog/2013/10                                                                                                      |          1 |         90 |          0 |         45 |        135 |
| content/blog/2014                                                                                                         |         22 |      2,205 |          0 |        831 |      3,036 |
| content/blog/2014/04                                                                                                      |          2 |        311 |          0 |        109 |        420 |
| content/blog/2014/05                                                                                                      |          4 |      1,215 |          0 |        433 |      1,648 |
| content/blog/2014/06                                                                                                      |          2 |         71 |          0 |         43 |        114 |
| content/blog/2014/07                                                                                                      |          2 |         39 |          0 |         22 |         61 |
| content/blog/2014/08                                                                                                      |          2 |         91 |          0 |         53 |        144 |
| content/blog/2014/09                                                                                                      |          6 |        124 |          0 |         68 |        192 |
| content/blog/2014/10                                                                                                      |          2 |         47 |          0 |         18 |         65 |
| content/blog/2014/11                                                                                                      |          2 |        307 |          0 |         85 |        392 |
| content/blog/2015                                                                                                         |         16 |      1,073 |          0 |        547 |      1,620 |
| content/blog/2015/01                                                                                                      |          1 |         28 |          0 |         14 |         42 |
| content/blog/2015/02                                                                                                      |          1 |         71 |          0 |         46 |        117 |
| content/blog/2015/03                                                                                                      |          1 |         40 |          0 |         21 |         61 |
| content/blog/2015/04                                                                                                      |          3 |        485 |          0 |        203 |        688 |
| content/blog/2015/05                                                                                                      |          1 |         77 |          0 |         22 |         99 |
| content/blog/2015/07                                                                                                      |          1 |         21 |          0 |          9 |         30 |
| content/blog/2015/08                                                                                                      |          1 |         52 |          0 |         41 |         93 |
| content/blog/2015/09                                                                                                      |          1 |         49 |          0 |         23 |         72 |
| content/blog/2015/10                                                                                                      |          2 |        114 |          0 |         82 |        196 |
| content/blog/2015/11                                                                                                      |          2 |         77 |          0 |         55 |        132 |
| content/blog/2015/12                                                                                                      |          2 |         59 |          0 |         31 |         90 |
| content/blog/2016                                                                                                         |          7 |        372 |          0 |        183 |        555 |
| content/blog/2016/01                                                                                                      |          1 |         39 |          0 |         27 |         66 |
| content/blog/2016/05                                                                                                      |          1 |         56 |          0 |         27 |         83 |
| content/blog/2016/06                                                                                                      |          1 |         16 |          0 |          4 |         20 |
| content/blog/2016/07                                                                                                      |          1 |        146 |          0 |         60 |        206 |
| content/blog/2016/09                                                                                                      |          1 |         43 |          0 |         28 |         71 |
| content/blog/2016/10                                                                                                      |          1 |         28 |          0 |         16 |         44 |
| content/blog/2016/11                                                                                                      |          1 |         44 |          0 |         21 |         65 |
| content/blog/2017                                                                                                         |         22 |      1,738 |          0 |        801 |      2,539 |
| content/blog/2017/02                                                                                                      |          2 |        278 |          0 |         91 |        369 |
| content/blog/2017/03                                                                                                      |          2 |        266 |          0 |        106 |        372 |
| content/blog/2017/04                                                                                                      |          1 |         72 |          0 |         40 |        112 |
| content/blog/2017/05                                                                                                      |          2 |        170 |          0 |         84 |        254 |
| content/blog/2017/06                                                                                                      |          2 |        148 |          0 |         65 |        213 |
| content/blog/2017/07                                                                                                      |          2 |        197 |          0 |         97 |        294 |
| content/blog/2017/09                                                                                                      |          2 |        299 |          0 |        140 |        439 |
| content/blog/2017/10                                                                                                      |          7 |        235 |          0 |        138 |        373 |
| content/blog/2017/11                                                                                                      |          1 |         48 |          0 |         27 |         75 |
| content/blog/2017/12                                                                                                      |          1 |         25 |          0 |         13 |         38 |
| content/blog/2018                                                                                                         |         15 |      1,118 |          0 |        486 |      1,604 |
| content/blog/2018/02                                                                                                      |          2 |         68 |          0 |         34 |        102 |
| content/blog/2018/04                                                                                                      |          3 |        223 |          0 |         94 |        317 |
| content/blog/2018/05                                                                                                      |          1 |        149 |          0 |         69 |        218 |
| content/blog/2018/06                                                                                                      |          3 |        134 |          0 |         62 |        196 |
| content/blog/2018/07                                                                                                      |          1 |         34 |          0 |         27 |         61 |
| content/blog/2018/08                                                                                                      |          2 |        134 |          0 |         61 |        195 |
| content/blog/2018/10                                                                                                      |          2 |        248 |          0 |        105 |        353 |
| content/blog/2018/12                                                                                                      |          1 |        128 |          0 |         34 |        162 |
